Date,close,high,low,open,volume,RSI,MACD,MACD_SIGNAL,SMA20,EMA20,BB_UPPER,BB_LOWER,ATR,CCI,proba_rfc_cal,proba_sgd_cal,proba_xgb_cal,proba_sentiment_neg,proba_sentiment_neu,proba_sentiment_pos,y_true
2025-05-07,97032.320312,97625.804688,95829.335938,96800.195312,76983822462,66.232189,2805.575252,2771.047284,93103.919141,93106.098651,101225.888325,84981.949956,2131.458705,84.206128,0.446154,0.497075,,,,,1
2025-05-08,103241.460938,103969.539062,96913.875000,97034.250000,69895404397,75.729391,3268.012145,2870.440256,94043.451953,94071.371368,102297.054001,85789.849905,2469.757254,187.503404,0.446154,0.484747,,,,,0
2025-05-09,102970.851562,104297.492188,102343.093750,103239.125000,58198593958,74.742753,3571.490921,3010.650389,94938.823828,94918.941004,102972.998394,86904.649262,2404.371652,234.208623,0.446154,0.489682,,,,,1
2025-05-10,104696.328125,104961.765625,102830.484375,102973.710938,42276713994,76.816796,3906.202726,3189.760856,95914.925000,95850.120824,103693.578660,88136.271340,2462.026786,220.555996,0.250000,0.483772,,,,,0
2025-05-11,104106.359375,104937.992188,103364.742188,104701.070312,46285517406,74.562269,4076.863285,3367.181342,96744.297656,96636.429329,104287.292829,89201.302484,2457.558594,182.300429,0.446154,0.485972,,,,,0
2025-05-12,102812.953125,105747.453125,100814.406250,104106.960938,63250475404,69.730431,4060.934324,3505.931939,97212.850781,97224.669739,105050.567060,89375.134503,2614.369978,131.505440,0.446154,0.489488,,,,,1
2025-05-13,104169.812500,104997.421875,101515.093750,102812.492188,52608876410,71.795330,4110.415055,3626.828562,97736.385938,97886.111955,105974.457885,89498.313990,2742.480469,116.926672,0.446154,0.489853,,,,,0
2025-05-14,103539.414062,104303.562500,102618.296875,104167.328125,45956071155,69.425715,4052.051598,3711.873169,98216.166797,98424.521716,106639.821459,89792.512135,2700.736607,98.757056,0.446154,0.495782,,,,,1
2025-05-15,103744.640625,104153.617188,101440.812500,103538.828125,50408241840,69.775454,3976.519305,3764.802396,98667.373828,98931.199738,107267.531485,90067.216171,2659.913504,80.599004,0.250000,0.498579,,,,,0
2025-05-16,103489.289062,104533.484375,103137.476562,103735.656250,44386499364,68.722100,3851.655231,3782.172963,99109.491797,99365.303507,107748.453847,90470.529747,2650.345982,80.812793,0.250000,0.502357,,,,,0
2025-05-17,103191.085938,103716.945312,102659.179688,103489.289062,37898552742,67.441663,3686.145503,3762.967471,99581.303906,99729.663757,108017.259932,91145.347880,2645.715402,64.662390,0.073529,0.504705,,,,,1
2025-05-18,106446.007812,106597.171875,103142.601562,103186.953125,49887082058,73.291286,3774.116618,3765.197301,100154.666797,100369.315601,108828.901955,91480.431639,2739.220982,92.771186,0.000000,0.501112,,,,,0
2025-05-19,105606.179688,107068.718750,102112.687500,106430.531250,61761126647,69.806348,3733.035259,3758.764892,100720.736328,100868.064582,109258.652047,92182.820609,2977.014509,78.521947,0.000000,0.505823,,,,,1
2025-05-20,106791.085938,107307.117188,104206.515625,105605.406250,36515726122,71.840773,3752.829551,3757.577824,101349.925000,101432.161875,109719.832371,92980.017629,2949.248884,93.768247,0.000000,0.503047,,,,,1
2025-05-21,109678.078125,110724.460938,106127.234375,106791.312500,78086364051,76.071276,3955.871590,3797.236577,102009.212109,102217.487258,110833.003904,93185.420315,3149.303013,135.933113,0.000000,0.500287,,,,,1
2025-05-22,111673.281250,111970.171875,109285.070312,109673.492188,70157575642,78.477769,4229.030197,3883.595301,102747.372656,103118.039094,112221.181963,93273.563350,2837.119978,165.284982,0.000000,0.500660,,,,,0
2025-05-23,107287.796875,111798.906250,106841.304688,111679.359375,67548133399,63.387867,4045.010546,3915.878350,103317.172656,103515.158893,112418.359857,94215.985456,3051.634487,118.964998,0.000000,0.506417,,,,,1
2025-05-24,107791.156250,109454.523438,106895.289062,107278.507812,45903627163,64.237847,3894.892583,3911.681197,103990.931641,103922.396747,112241.815037,95740.048245,3082.202567,103.041890,0.000000,0.500623,,,,,1
2025-05-25,109035.390625,109313.304688,106683.375000,107802.273438,47518041841,66.319331,3832.147591,3895.774476,104705.298437,104409.348556,112005.990669,97404.606206,3157.679688,100.526151,0.000000,0.498706,,,,,1
2025-05-26,109440.367188,110376.882812,108735.640625,109023.781250,45950461571,66.992728,3771.622990,3870.944179,105337.192969,104888.493197,111909.158581,98765.227356,2922.550781,116.791259,0.000000,0.498861,,,,,0
2025-05-27,108994.640625,110744.210938,107609.554688,109440.406250,57450176272,65.441878,3645.665468,3825.888437,105935.308984,105279.554864,111410.749562,100459.868407,2897.717076,94.745349,0.000000,0.497826,,,,,0
2025-05-28,107802.328125,109298.289062,106812.929688,108992.171875,49155377493,61.350527,3410.321594,3742.775068,106163.352344,105519.818988,111545.506147,100781.198541,2954.866629,55.923394,0.000000,0.500091,,,,,0
2025-05-29,105641.757812,108910.046875,105374.398438,107795.570312,56022752042,54.679421,3014.718267,3597.163708,106296.897656,105531.432210,111474.162033,101119.633280,3013.641183,14.395445,0.000000,0.503225,,,,,0
2025-05-30,103998.570312,106308.945312,103685.789062,105646.210938,57655287183,50.207903,2539.336499,3385.598266,106262.009766,105385.445360,111493.804425,101030.215106,3101.294643,-44.759637,0.132353,0.506400,,,,,1
2025-05-31,104638.093750,104927.101562,103136.117188,103994.718750,38997843858,51.857999,2188.964164,3146.271446,106288.596484,105314.269016,111479.511534,101097.681434,3153.667411,-57.768078,0.000000,0.506051,,,,,1
2025-06-01,105652.101562,105884.546875,103826.953125,104637.296875,37397056873,54.436321,1970.399919,2911.097140,106430.553906,105346.443544,111370.479036,101490.628777,3053.883371,-35.834121,,,,,,,1
2025-06-02,105881.531250,105958.312500,103727.546875,105649.812500,45819706290,55.023261,1795.007496,2687.879211,106516.139844,105397.404279,111349.305124,101682.974564,2859.221540,-37.525542,0.000000,0.518852,,,,,0
2025-06-03,105432.468750,106813.578125,104920.843750,105888.476562,46196508367,53.568713,1601.313225,2470.566014,106610.792578,105400.743752,111269.498640,101952.086516,2772.945312,-25.264444,0.000000,0.519068,,,,,0
2025-06-04,104731.984375,105997.695312,104232.703125,105434.367188,44544857105,51.290997,1375.430806,2251.538972,106660.159766,105337.052382,111210.652537,102109.666995,2570.642857,-55.472550,0.000000,0.519878,,,,,0
2025-06-05,101575.953125,105936.687500,100436.882812,104750.781250,57479298400,42.518995,931.019931,1987.435164,106564.492969,104978.852450,111462.825007,101666.160930,2771.693080,-132.299535,0.448276,0.517834,,,,,1
2025-06-06,104390.343750,105376.773438,101169.570312,101574.367188,48856653697,50.627976,796.734544,1749.295040,106624.455859,104922.804002,111376.076269,101872.835449,2718.093192,-100.046751,0.448276,0.521501,,,,,1
2025-06-07,105615.625000,105972.757812,103987.312500,104390.648438,38365033776,53.690954,780.188790,1555.473790,106582.936719,104988.786955,111355.587482,101810.285956,2677.108259,-45.971606,0.000000,0.526303,,,,,1
