date,proba_rfc_cal,proba_sgd_cal,y_true,month
2022-06-07,0.625000,0.511885,0,2022-06
2022-06-08,0.548387,0.508113,0,2022-06
2022-06-09,0.548387,0.507616,0,2022-06
2022-06-10,0.548387,0.506925,0,2022-06
2022-06-11,0.548387,0.505670,0,2022-06
2022-06-12,0.625000,0.505810,0,2022-06
2022-06-13,0.548387,0.514704,0,2022-06
2022-06-14,0.625000,0.514471,1,2022-06
2022-06-15,0.833333,0.517630,0,2022-06
2022-06-16,0.625000,0.519645,1,2022-06
2022-06-17,0.548387,0.518723,0,2022-06
2022-06-18,0.625000,0.523629,1,2022-06
2022-06-19,0.625000,0.525264,1,2022-06
2022-06-20,0.586694,0.522436,1,2022-06
2022-06-21,0.548387,0.520933,0,2022-06
2022-06-22,0.548387,0.520535,1,2022-06
2022-06-23,0.548387,0.522366,1,2022-06
2022-06-24,0.548387,0.520905,1,2022-06
2022-06-25,0.548387,0.520102,0,2022-06
2022-06-26,0.548387,0.516960,0,2022-06
2022-06-27,0.548387,0.515098,0,2022-06
2022-06-28,0.548387,0.512078,0,2022-06
2022-06-29,0.548387,0.508835,0,2022-06
2022-06-30,0.548387,0.506771,0,2022-06
2022-07-02,0.450000,0.452397,1,2022-07
2022-07-03,0.450000,0.452918,1,2022-07
2022-07-04,0.450000,0.457788,0,2022-07
2022-07-05,0.450000,0.457547,1,2022-07
2022-07-06,0.450000,0.458971,1,2022-07
2022-07-07,0.450000,0.464034,1,2022-07
2022-07-08,0.450000,0.464249,0,2022-07
2022-07-09,0.450000,0.463707,0,2022-07
2022-07-10,0.450000,0.461663,0,2022-07
2022-07-11,0.450000,0.459212,0,2022-07
2022-07-12,0.450000,0.457667,1,2022-07
2022-07-13,0.450000,0.461856,1,2022-07
2022-07-14,0.450000,0.463420,1,2022-07
2022-07-15,0.450000,0.464155,1,2022-07
2022-07-16,0.450000,0.465726,0,2022-07
2022-07-17,0.450000,0.463970,1,2022-07
2022-07-18,0.500000,0.470485,1,2022-07
2022-07-19,0.500000,0.473755,0,2022-07
2022-07-20,0.500000,0.472584,0,2022-07
